Word,Frequency Rank,Language of Origin,Language Branch,Origin Language,Modern Eqiuvalent,Branch Language,Modern Equilvalent
brother,546,Old English,Germanic,English,brother,German,bruder
egg,547,Old Norse,Germanic,Norse,egg,German,ei
ride,548,Old English,Germanic,English,ride,German,reiten
cell,549,Latin,Italic,Latin,cellulam,Latin,cellulam
believe,550,Old English,Germanic,English,believe,German,glauben
fraction,551,Anglo-French Old French Latin,Italic,French,fraction,Latin,fraction
forest,552,Old French Latin,Italic,French,forêt,Latin,silva
sit,553,Old English,Germanic,English,sit,German,sitzen
race,554,Old Norse,Germanic,Norse,rase,German,rennen
window,555,Old Norse,Germanic,Norse,vindu,German,fenster
store,556,Old French Latin,Italic,French,magasin,Latin,copia
summer,557,Old English,Germanic,English,summer,German,sommer
train,558,Old French Latin,Italic,French,train,Latin,agmen
sleep,559,Old English,Germanic,English,sleep,German,schlafe
prove,560,Old French Latin,Italic,French,prouver,Latin,probare
lone,561,Old English,Germanic,English,lone,German,einsam
leg,562,Old Norse,Germanic,Norse,bein,German,bein
exercise,563,Old French Latin,Italic,French,exercice,Latin,exercitium
wall,564,Old English,Germanic,English,wall,German,wand
catch,565,Anglo-French Old French Latin,Italic,French,capture,Latin,capturam
mount,566,Old French Latin,Italic,French,monter,Latin,conscendo
wish,567,Old English,Germanic,English,wish,German,wunsch
sky,568,Old Norse,Germanic,Norse,himmel,German,himmel
board,569,Old English,Germanic,English,board,German,tafel
joy,570,Old French Latin,Italic,French,joie,Latin,gaudium
winter,571,Old English,Germanic,English,winter,German,winter
sat,572,Old English,Germanic,English,sat,German,saß
written,573,Old English,Germanic,English,written,German,geschrieben
wild,574,Old English,Germanic,English,wild,German,wild
instrument,575,Old French Latin,Italic,French,instrument,Latin,instrumentum
kept,576,Old English,Germanic,English,kept,German,gehalten
glass,577,Old English,Germanic,English,glass,German,glas
grass,578,Old English,Germanic,English,grass,German,gras
cow,579,Old English,Germanic,English,cow,German,kuh
job,580,Uncertain,Uncertain,N/A,,N/A,
edge,581,Old English,Germanic,English,edge,German,kante
sign,582,Old French Latin,Italic,French,signe,Latin,signum
visit,583,Old French Latin,Italic,French,visite,Latin,visita
past,584,Old French Latin,Italic,French,passé,Latin,praeteritum
soft,585,Old English,Germanic,English,soft,German,weich
fun,586,Middle English,Germanic,English,fun,German,spaß
bright,587,Old English,Germanic,English,bright,German,hell
gas,588,Dutch Greek,Hellenic,Dutch,gas,Greek,aerio
weather,589,Old English,Germanic,English,weather,German,wetter
month,590,Old English,Germanic,English,month,German,monat
million,591,Old French Italian Latin,Italic,French,million,Latin,decies centena
bear,592,Old English,Germanic,English,bear,German,bär
finish,593,Old French Latin,Italic,French,finir,Latin,perago
happy,594,Old English,Germanic,English,happy,German,glücklich
hope,595,Old English,Germanic,English,hope,German,hoffen
flower,596,Old French Latin,Italic,French,fleur,Latin,flos
clothe,597,Old English,Germanic,English,clothe,German,kleiden
strange,598,Old French Latin,Italic,French,étrange,Latin,alienus
gone,599,Old English,Germanic,English,gone,German,weg
jump,600,Uncertain,Uncertain,N/A,,N/A,
baby,601,Uncertain,Uncertain,N/A,,N/A,
eight,602,Old English,Germanic,English,eight,German,acht
village,603,Old French Latin,Italic,French,village,Latin,villa
meet,604,Old English,Germanic,English,meet,German,treffen
root,605,Old English,Germanic,English,root,German,stamm
buy,606,Old English,Germanic,English,buy,German,kaufen
raise,607,Old Norse,Germanic,Norse,heve,German,erziehen
solve,608,Latin,Italic,Latin,solvo,Latin,solvo
metal,609,Old French Latin Greek,Hellenic,French,métal,Greek,metallo
whether,610,Old English,Germanic,English,whether,German,ob
push,611,Old French Latin,Italic,French,pousser,Latin,dis
seven,612,Old English,Germanic,English,seven,German,sieben
paragraph,613,Middle French Latin Greek,Hellenic,French,paragraphe,Greek,paragrafos
third,614,Old English,Germanic,English,third,German,dritte
shall,615,Old English,Germanic,English,shall,German,soll
held,616,Old English,Germanic,English,held,German,gehaltenen
hair,617,Old English,Germanic,English,hair,German,haare
describe,618,Old French Latin,Italic,French,décrire,Latin,describere
cook,619,Old English,Germanic,English,cook,German,küchen
floor,620,Old English,Germanic,English,floor,German,boden
either,621,Old English,Germanic,English,either,German,entweder
result,622,Latin,Italic,Latin,exitum,Latin,exitum
burn,623,Old English,Germanic,English,burn,German,brennen
hill,624,Old English,Germanic,English,hill,German,hügel
safe,625,Old French Latin,Italic,French,sûr,Latin,tutum
cat,626,Old English,Germanic,English,cat,German,katze
century,627,Latin,Italic,Latin,saeculum,Latin,saeculum
consider,628,Old French Latin,Italic,French,considérer,Latin,considerans
type,629,Latin Greek,Hellenic,Latin,typos,Greek,typos
law,630,Old English,Germanic,English,law,German,gesetz
bit,631,Old English,Germanic,English,bit,German,bisschen
coast,632,Old French Latin,Italic,French,côte,Latin,litore
copy,633,Old French Latin,Italic,French,copier,Latin,exemplum
phrase,634,Latin Greek,Hellenic,Latin,frasi,Greek,frasi
silent,635,Latin,Italic,Latin,silens,Latin,silens
tall,636,Old English,Germanic,English,tall,German,hoch
sand,637,Old English,Germanic,English,sand,German,sand
soil,638,Anglo-French Old French Latin,Italic,French,sol,Latin,soli
roll,639,Old French Latin,Italic,French,rouleau,Latin,voluto
temperature,640,Latin,Italic,Latin,temperies,Latin,temperies
finger,641,Old English,Germanic,English,finger,German,finger
industry,642,Old French Latin,Italic,French,industrie,Latin,industria
value,643,Old French Latin,Italic,French,valeur,Latin,valorem
fight,644,Old English,Germanic,English,fight,German,kämpfen
lie,645,Old English,Germanic,English,lie,German,liegen
beat,646,Old English,Germanic,English,beat,German,schlagen
excite,647,Old French Latin,Italic,French,exciter,Latin,minus
natural,648,Old French Latin,Italic,French,naturel,Latin,naturalis
view,649,Anglo-French Old French Latin,Italic,French,vue,Latin,visum
sense,650,Old French Latin,Italic,French,sens,Latin,sensum
ear,651,Old English,Germanic,English,ear,German,ohr
else,652,Old English,Germanic,English,else,German,sonst
quite,653,Old French Latin,Italic,French,assez,Latin,satis
broke,654,Old English,Germanic,English,broke,German,pleite
case,655,Old French Latin,Italic,French,cas,Latin,casus
middle,656,Old English,Germanic,English,middle,German,mitte
kill,657,Old English,Germanic,English,kill,German,töten
son,658,Old English,Germanic,English,son,German,sohn
lake,659,Old French Latin,Italic,French,lac,Latin,lacus
moment,660,Old French Latin,Italic,French,moment,Latin,momentum
scale,661,Old French Frankish,Germanic,French,échelle,German,rahmen
loud,662,Old English,Germanic,English,loud,German,laut
spring,663,Old English,Germanic,English,spring,German,frühling
observe,664,Old French Latin,Italic,French,observer,Latin,observo
child,665,Old English,Germanic,English,child,German,kinder
straight,666,Old English,Germanic,English,straight,German,gerade
consonant,667,Latin,Italic,Latin,consona,Latin,consona
nation,668,Old French Latin,Italic,French,nation,Latin,gentem
dictionary,669,Latin,Italic,Latin,lexicon,Latin,lexicon
milk,670,Old English,Germanic,English,milk,German,milch
speed,671,Old English,Germanic,English,speed,German,geschwindigkeit
method,672,Latin Greek,Hellenic,Latin,methodos,Greek,methodos
organ,673,Old English,Germanic,English,organ,German,organ
pay,674,Old French Latin,Italic,French,payer,Latin,redde
age,675,Old French Latin,Italic,French,age,Latin,aetate
section,676,Old French Latin,Italic,French,section,Latin,sectioni
dress,677,Old French Latin,Italic,French,robe,Latin,vestio
cloud,678,Old English,Germanic,English,cloud,German,wolke
surprise,679,Old French Latin,Italic,French,surprise,Latin,mirum
quiet,680,Old French Latin,Italic,French,silencieux,Latin,quiescis
stone,681,Old English,Germanic,English,stone,German,stein
tiny,682,Old English,Germanic,English,tiny,German,winzig
climb,683,Old English,Germanic,English,climb,German,steigen
cool,684,Old English,Germanic,English,cool,German,cool
design,685,Middle French,Italic,French,désign,Latin,consilio
poor,686,Old French Latin,Italic,French,pauvre,Latin,pauper
lot,687,Old English,Germanic,English,lot,German,menge
experiment,688,Old French Latin,Italic,French,expérimenter,Latin,experimentum
bottom,689,Old English,Germanic,English,bottom,German,boden
key,690,Old English,Germanic,English,key,German,schlüssel
iron,691,Old English,Germanic,English,iron,German,eisen
single,692,Old French Latin,Italic,French,unique,Latin,unum
stick,693,Old English,Germanic,English,stick,German,stock
flat,694,Old Norse,Germanic,Norse,flat,German,eben
twenty,695,Old English,Germanic,English,twenty,German,zwanzig
skin,696,Old Norse,Germanic,Norse,hud,German,haut
smile,697,Middle Low German,Germanic,Yiddish,shmeykhl,German,lächeln
crease,698,Old French Latin,Italic,French,pli,Latin,dirigatur
hole,699,Old English,Germanic,English,hole,German,loch
trade,700,Middle Dutch/Middle Low German,Germanic,Dutch,handel,German,handel
melody,701,Old French Latin Greek,Hellenic,French,mélodie,Greek,melodia
trip,702,Old French Germanic,Germanic,French,voyage,German,reise
office,703,Anglo-French Old French Latin,Italic,French,bureau,Latin,officium
receive,704,Old French Latin,Italic,French,recevoir,Latin,recepto
row,705,Old English,Germanic,English,row,German,reihe
mouth,706,Old English,Germanic,English,mouth,German,mund
exact,707,Latin,Italic,Latin,exiges,Latin,exiges
symbol,708,Latin Greek,Hellenic,Latin,symvolo,Greek,symvolo
die,709,Old Danish/Old Norse,Germanic,Norse,dø,German,sterben
least,710,Old English,Germanic,English,least,German,wenigste
trouble,711,Old French Latin,Italic,French,troubler,Latin,tribulatio
shout,712,Old Norse,Germanic,Norse,rope,German,schreien
except,713,Middle French Latin,Italic,French,sauf,Latin,nisi
wrote,714,Old English,Germanic,English,wrote,German,schrieb
seed,715,Old English,Germanic,English,seed,German,samen
tone,716,Old French Latin Greek,Hellenic,French,ton,Greek,tonos
join,717,Old French Latin,Italic,French,joindre,Latin,iungo
suggest,718,Latin,Italic,Latin,suadeant,Latin,suadeant
clean,719,Old English,Germanic,English,clean,German,sauber
break,720,Old English,Germanic,English,break,German,brechen
lady,721,Old English,Germanic,English,lady,German,dame
yard,722,Old English,Germanic,English,yard,German,hof
rise,723,Old English,Germanic,English,rise,German,steigen
bad,724,Old English,Germanic,English,bad,German,schlecht
blow,725,Old English,Germanic,English,blow,German,blasen
oil,726,Anglo-French Old French Latin Greek,Hellenic,French,huile,Greek,ladi
blood,727,Old English,Germanic,English,blood,German,blut
touch,728,Old French Latin,Italic,French,toucher,Latin,tange
grew,729,Old English,Germanic,English,grew,German,wuchs
cent,730,Latin,Italic,Latin,cent,Latin,cent
mix,731,Anglo-French Latin,Italic,French,mélanger,Latin,misce
team,732,Old English,Germanic,English,team,German,mannschaft
wire,733,Old English,Germanic,English,wire,German,draht
cost,734,Old French Latin,Italic,French,coût,Latin,pretium
lost,735,Old English,Germanic,English,lost,German,hat verloren
brown,736,Old English,Germanic,English,brown,German,braun
wear,737,Old English,Germanic,English,wear,German,tragen
garden,738,Old French Latin Frankish,Germanic,French,jardin,German,garten
equal,739,Latin,Italic,Latin,aequalis,Latin,aequalis
sent,740,Old English,Germanic,English,sent,German,geschickt
choose,741,Old English,Germanic,English,choose,German,wählen
fell,742,Old English,Germanic,English,fell,German,fiel
fit,743,Old Norse,Germanic,Norse,passe,German,passen
flow,744,Old English,Germanic,English,flow,German,fließen
fair,745,Old English,Germanic,English,fair,German,fair
bank,746,French Italian Germanic,Germanic,French,banque,German,bank
collect,747,Old French Latin,Italic,French,collecte,Latin,colligo
save,748,Old French Latin,Italic,French,sauvegarder,Latin,salvare
control,749,Anglo-French Latin,Italic,French,contrôle,Latin,imperium
decimal,750,Latin,Italic,Latin,decimales,Latin,decimales
gentle,751,Old French Latin,Italic,French,gentil,Latin,mitis
woman,752,Old English,Germanic,English,woman,German,frau
captain,753,Old French Latin,Italic,French,capitaine,Latin,princeps
practice,754,Old French Latin Greek,Hellenic,French,pratique,Greek,praktiki
separate,755,Latin,Italic,Latin,separatum,Latin,separatum
difficult,756,Anglo-French Latin,Italic,French,difficile,Latin,difficilis
doctor,757,Old French Latin,Italic,French,docteur,Latin,medicus
please,758,Old French Latin,Italic,French,plaire,Latin,placeo
protect,759,Latin,Italic,Latin,protego,Latin,protego
noon,760,Old English,Germanic,English,noon,German,mittag
whose,761,Old English,Germanic,English,whose,German,wessen
locate,762,Latin,Italic,Latin,loco,Latin,loco
ring,763,Old English,Germanic,English,ring,German,ring
character,764,Old French Latin Greek,Hellenic,French,caractère,Greek,charaktiras
insect,765,Latin,Italic,Latin,insectum,Latin,insectum
caught,766,Anglo-French Old French Latin,Italic,French,pris,Latin,captus
period,767,Middle French Latin Greek,Hellenic,French,période,Greek,periodos
indicate,768,Latin,Italic,Latin,indicant,Latin,indicant
radio,769,Latin,Italic,Latin,N/A,Latin,N/A
spoke,770,Old English,Germanic,English,spoke,German,gesprochen
atom,771,Latin Greek,Hellenic,Latin,atomo,Greek,atomo
human,772,Old French Latin,Italic,French,humain,Latin,hominum
history,773,Old French Latin Greek,Hellenic,French,histoire,Greek,istoria
effect,774,Old French Latin,Italic,French,effet,Latin,effectus
electric,775,Latin Greek,Hellenic,Latin,ilektrikos,Greek,ilektrikos
expect,776,Latin,Italic,Latin,expecto,Latin,expecto
crop,777,Old English,Germanic,English,crop,German,ernte
modern,778,Middle French Latin,Italic,French,moderne,Latin,recens
element,779,Old French Latin,Italic,French,élément,Latin,elementum
hit,780,Old English,Germanic,English,hit,German,schlagen
student,781,Old French Latin,Italic,French,étudiant,Latin,discipulus
corner,782,Anglo-French Old French Latin,Italic,French,coin,Latin,anguli
party,783,Old French Latin,Italic,French,partie,Latin,pars
supply,784,Old French Latin,Italic,French,fournir,Latin,supplementum
bone,785,Old English,Germanic,English,bone,German,knochen
rail,786,Old French Latin,Italic,French,rail,Latin,?
imagine,787,Old French Latin,Italic,French,imaginer,Latin,imaginor
provide,788,Latin,Italic,Latin,suggero,Latin,suggero
agree,789,Old French Latin,Italic,French,accepter,Latin,conveniunt
thus,790,Old English,Germanic,English,thus,German,somit
capital,791,Old French Latin,Italic,French,capital,Latin,capitis
won't,792,Old English,Germanic,English,won't,German,nicht werden
chair,793,Old French Latin,Italic,French,chaise,Latin,sella
danger,794,Anglo-French Old French Latin,Italic,French,danger,Latin,periculum
fruit,795,Old French Latin,Italic,French,fruit,Latin,fructus
rich,796,Old English,Germanic,English,rich,German,reich
thick,797,Old English,Germanic,English,thick,German,dick
soldier,798,Old French Latin,Italic,French,soldat,Latin,miles
process,799,Old French Latin,Italic,French,processus,Latin,processus
operate,800,Latin,Italic,Latin,agunt,Latin,agunt
guess,801,Uncertain Germanic,Germanic,German,erraten,German,erraten
necessary,802,Old French Latin,Italic,French,nécessaire,Latin,necesse
sharp,803,Old English,Germanic,English,sharp,German,scharf
wing,804,Old Norse,Germanic,Norse,vinge,German,flügel
create,805,Latin,Italic,Latin,creo,Latin,creo
neighbor,806,Old English,Germanic,English,neighbor,German,nachbar
wash,807,Old English,Germanic,English,wash,German,waschen
bat,808,Old English,Germanic,English,bat,German,schläger
rather,809,Old English,Germanic,English,rather,German,lieber
crowd,810,Old English,Germanic,English,crowd,German,menge
corn,811,Old English,Germanic,English,corn,German,mais
compare,812,Old French Latin,Italic,French,comparer,Latin,compare
poem,813,Middle French Latin Greek,Hellenic,French,peoème,Greek,poiima
string,814,Old English,Germanic,English,string,German,zeichenfolge
bell,815,Old English,Germanic,English,bell,German,glocke
depend,816,Old French Latin,Italic,French,dépendre,Latin,dependeo
meat,817,Old English,Germanic,English,meat,German,fleisch
rub,818,Uncertain Germanic,Germanic,German,reiben,German,reiben
tube,819,Middle French Latin,Italic,French,tube,Latin,tubus
famous,820,Anglo-French Old French Latin,Italic,French,fameux,Latin,clarus
dollar,821,German,Germanic,German,dollar,German,dollar
stream,822,Old English,Germanic,English,stream,German,strom
fear,823,Old English,Germanic,English,fear,German,angst
sight,824,Old English,Germanic,English,sight,German,sicht
thin,825,Old English,Germanic,English,thin,German,dünn
triangle,826,Latin,Italic,Latin,triangulum,Latin,triangulum
planet,827,Old English,Germanic,English,planet,German,planet
hurry,828,Middle English,Germanic,English,hurry,German,eile
chief,829,Old French Latin,Italic,French,chef,Latin,summum
colony,830,Latin,Italic,Latin,coloniam,Latin,coloniam
clock,831,Uncertain Middle Dutch/Middle French/Latin/Celtic,Uncertain,N/A,,N/A,
mine,832,Old English,Germanic,English,mine,German,meine
tie,833,Old English,Germanic,English,tie,German,binden
enter,834,Old French Latin,Italic,French,entrer,Latin,intrabit
major,835,Latin,Italic,Latin,maior,Latin,maior
fresh,836,Old English,Germanic,English,fresh,German,frisch
search,837,Old French Latin,Italic,French,chercher,Latin,circumspicio
send,838,Old English,Germanic,English,send,German,senden
yellow,839,Old English,Germanic,English,yellow,German,gelb
gun,840,Old Norse,Germanic,Norse,våpen,German,gewehr
allow,841,Anglo-French Old French Latin,Italic,French,permettre,Latin,patitur
print,842,Old French Latin,Italic,French,imprimer,Latin,imprimo
dead,843,Old English,Germanic,English,dead,German,tot
spot,844,Old English,Germanic,English,spot,German,stelle
desert,845,Old French Latin,Italic,French,désert,Latin,desertum
suit,846,Anglo-French Old French Latin,Italic,French,costume,Latin,causa
current,847,Old French,Italic,French,courant,Latin,hic
lift,848,Old Norse,Germanic,Norse,løfte,German,heben
rose,849,Old English,Germanic,English,rose,German,steigen
continue,850,Old French Latin,Italic,French,continuer,Latin,persevero
block,851,Old French Germanic,Germanic,French,bloc,German,blockieren
chart,852,Middle French Latin,Italic,French,carte,Latin,tabula
hat,853,Old English,Germanic,English,hat,German,hut
sell,854,Old English,Germanic,English,sell,German,verkaufen
success,855,Latin,Italic,Latin,successus,Latin,successus
company,856,Old French Latin,Italic,French,compagnie,Latin,comitatus
subtract,857,Latin,Italic,Latin,subtraho,Latin,subtraho
event,858,Middle French Latin,Italic,French,événement,Latin,eventus
particular,859,Old French Latin,Italic,French,particulier,Latin,particularis
deal,860,Old English,Germanic,English,deal,German,deal
swim,861,Old English,Germanic,English,swim,German,schwimmen
term,862,Old French Latin,Italic,French,terme,Latin,terminus
opposite,863,Old French Latin,Italic,French,opposé,Latin,oppositus
wife,864,Old English,Germanic,English,wife,German,frau
shoe,865,Old English,Germanic,English,shoe,German,schuhe
shoulder,866,Old English,Germanic,English,shoulder,German,schulter
spread,867,Old English,Germanic,English,spread,German,verbreiten
arrange,868,Old French Frankish,Germanic,French,arranger,German,arrangieren
camp,869,French Latin,Italic,French,camp,Latin,castra
invent,870,Latin,Italic,Latin,invent,Latin,invent
cotton,871,Old French Arabic,Semitic,French,coton,Arabic,qatn
born,872,Old English,Germanic,English,born,German,geboren
determine,873,Old French Latin,Italic,French,déterminer,Latin,decerno
quart,874,Old French Latin,Italic,French,litre,Latin,partem hin
nine,875,Old English,Germanic,English,nine,German,neun
truck,876,Latin Greek,Hellenic,Latin,fortigo,Greek,fortigo
noise,877,Old French,Italic,French,bruit,Latin,sonitus
level,878,Old French Latin,Italic,French,niveau,Latin,planum
chance,879,Old French Latin,Italic,French,chance,Latin,casus
gather,880,Old English,Germanic,English,gather,German,versammeln
shop,881,Old English,Germanic,English,shop,German,geschäft
stretch,882,Old English,Germanic,English,stretch,German,strecken
throw,883,Old English,Germanic,English,throw,German,werfen
shine,884,Old English,Germanic,English,shine,German,scheinen
property,885,Anglo-French Old French Latin,Italic,French,propriété,Latin,proprietas
column,886,Old French Latin,Italic,French,colonne,Latin,columnae
molecule,887,French Latin,Italic,French,molécule,Latin,moleculo
select,888,Latin,Italic,Latin,eligere,Latin,eligere
wrong,889,Old English,Germanic,English,wrong,German,falsch
gray,890,Old English,Germanic,English,gray,German,grau
repeat,891,Old French Latin,Italic,French,répéter,Latin,repeto
require,892,Old French Latin,Italic,French,requérir,Latin,requiro
broad,893,Old English,Germanic,English,broad,German,breit
prepare,894,Middle French Latin,Italic,French,préparer,Latin,para
salt,895,Old English,Germanic,English,salt,German,salz
nose,896,Old English,Germanic,English,nose,German,nase
plural,897,Old French Latin,Italic,French,plruiel,Latin,pluralis
anger,898,Old Norse,Germanic,Norse,sinne,German,ärger
claim,899,Old French Latin,Italic,French,prétendre,Latin,postulatio
continent,900,Latin,Italic,Latin,continentem,Latin,continentem
oxygen,901,French Greek,Hellenic,French,oxygene,Greek,oxygono
sugar,902,Old French Latin Arabic Persian Sanskrit,Indo-Iranian,French,sucre,Hindi,cheenee
death,903,Old English,Germanic,English,death,German,tod
pretty,904,Old English,Germanic,English,pretty,German,ziemlich
skill,905,Old Norse,Germanic,Norse,ferdighet,German,kunst
women,906,Old English,Germanic,English,women,German,frauen
season,907,Old French Latin,Italic,French,saison,Latin,tempus
solution,908,Old French Latin,Italic,French,solution,Latin,solutio
magnet,909,Old French Latin Greek,Hellenic,French,aimant,Greek,magnitis
silver,910,Old English,Germanic,English,silver,German,silber
thank,911,Old English,Germanic,English,thank,German,danke
branch,912,Old French Latin,Italic,French,branche,Latin,ramus
match,913,Old English,Germanic,English,match,German,entsprechen
suffix,914,Latin,Italic,Latin,etiamne,Latin,etiamne
especially,915,Old French Latin,Italic,French,spécialement,Latin,maxime
fig,916,Old French Latin,Italic,French,figue,Latin,ficus
afraid,917,Anglo-French Old French Latin,Italic,French,peur,Latin,timere
huge,918,Old French,Italic,French,énorme,Latin,ingens
sister,919,Old English,Germanic,English,sister,German,schwester
steel,920,Old English,Germanic,English,steel,German,stahl
discuss,921,Latin,Italic,Latin,decimales,Latin,decimales
forward,922,Old English,Germanic,English,forward,German,nach vorne
similar,923,French Latin,Italic,French,similaire,Latin,similis
guide,924,Old French Frankish,Germanic,French,guider,German,führen
experience,925,Old French Latin,Italic,French,expérience,Latin,experientia
score,926,Old Norse,Germanic,Norse,poengsum,German,ergebnis
apple,927,Old English,Germanic,English,apple,German,apfel
bought,928,Old English,Germanic,English,bought,German,gekauft
led,929,Old English,Germanic,English,led,German,führen
pitch,930,Old English,Germanic,English,pitch,German,werfen
coat,931,Old French Frankish,Germanic,French,manteau,German,mantel
mass,932,Old French Latin Greek,Hellenic,French,masse,Greek,maza
card,933,Old French Latin Greek,Hellenic,French,carte,Greek,karta
band,934,Old English,Germanic,English,band,German,band
rope,935,Old English,Germanic,English,rope,German,seil
slip,936,Old English,Germanic,English,slip,German,schlüpfen
win,937,Old English,Germanic,English,win,German,gewinnen
dream,938,Scandinavian,Germanic,Norse,drøm,German,traum
evening,939,Old English,Germanic,English,evening,German,abend
condition,940,Old French Latin,Italic,French,condition,Latin,conditio
feed,941,Old English,Germanic,English,feed,German,füttern
tool,942,Old English,Germanic,English,tool,German,werkzeug
total,943,Old French Latin,Italic,French,total,Latin,totus
basic,944,Old French Latin Greek,Hellenic,French,de base,Greek,vasikos
smell,945,Old English,Germanic,English,smell,German,riechen
valley,946,Anglo-French Old French Latin,Italic,French,vallée,Latin,vallis
nor,947,Old English,Germanic,English,nor,German,noch
double,948,Old French Latin,Italic,French,double,Latin,duplex
seat,949,Old Norse,Germanic,Norse,sete,German,sitz
arrive,950,Old French Latin,Italic,French,arrivée,Latin,perveniet
master,951,Old French Latin,Italic,French,maître,Latin,dominus
track,952,Old French Germanic,Germanic,French,traquer,German,verfolgen
parent,953,Old French Latin,Italic,French,parent,Latin,parente
shore,954,Old English,Germanic,English,shore,German,ufer
division,955,Old French Latin,Italic,French,division,Latin,divisio
sheet,956,Old English,Germanic,English,sheet,German,blatt
substance,957,Old French Latin,Italic,French,substance,Latin,substantia
favor,958,Old French Latin,Italic,French,favoriser,Latin,favor
connect,959,Latin,Italic,Latin,iungo,Latin,iungo
post,960,Middle French Italian Latin,Italic,French,poster,Latin,stipes
spend,961,Old English,Germanic,English,spend,German,verbringen
chord,962,Latin,Italic,Latin,cordam,Latin,cordam
fat,963,Old English,Germanic,English,fat,German,fett
glad,964,Old English,Germanic,English,glad,German,froh
original,965,Old French Latin,Italic,French,original,Latin,primigenius
share,966,Old English,Germanic,English,share,German,teilen
station,967,Old French Latin,Italic,French,station,Latin,statione
dad,968,Uncertain,Uncertain,N/A,,N/A,
bread,969,Old English,Germanic,English,bread,German,brot
charge,970,Old French Latin,Italic,French,charger,Latin,arguere
proper,971,Old French Latin,Italic,French,propre,Latin,propriis
bar,972,Old French Latin,Italic,French,bar,Latin,talea
offer,973,Old English,Germanic,English,offer,German,bieten
segment,974,Latin,Italic,Latin,segmentum,Latin,segmentum
slave,975,Old French Latin,Italic,French,esclave,Latin,servus
duck,976,Old English,Germanic,English,duck,German,ducken
instant,977,Old French Latin,Italic,French,instant,Latin,instans
market,978,Old French Latin,Italic,French,marché,Latin,mercatus
degree,979,Old French Latin,Italic,French,degré,Latin,gradus
populate,980,Latin,Italic,Latin,frequentare,Latin,frequentare
chick,981,Old English,Germanic,English,chick,German,küken
dear,982,Old English,Germanic,English,dear,German,liebe
enemy,983,Old French Latin,Italic,French,ennemi,Latin,inimicus
reply,984,Old French Latin,Italic,French,réplique,Latin,responsum
drink,985,Old English,Germanic,English,drink,German,trinken
occur,986,Middle French Latin,Italic,French,se produire,Latin,fieri
support,987,Old French Latin,Italic,French,support,Latin,auxilium
speech,988,Old English,Germanic,English,speech,German,rede
nature,989,Old French Latin,Italic,French,naturel,Latin,naturae
range,990,Old French,Italic,French,intervalle,Latin,jugum
steam,991,Old English,Germanic,English,steam,German,dampf
motion,992,Old French Latin,Italic,French,motion,Latin,motus
path,993,Old English,Germanic,English,path,German,pfad
liquid,994,Old French Latin,Italic,French,liquide,Latin,liquidus
log,995,Unknown,Unknown,N/A,,N/A,
meant,996,Old English,Germanic,English,meant,German,gemeint
quotient,997,Latin,Italic,Latin,quotus,Latin,quotus
teeth,998,Old English,Germanic,English,teeth,German,zähne
shell,999,Old English,Germanic,English,shell,German,schale
neck,1000,Old English,Germanic,English,neck,German,hals
